1,0.545905
2,0.803819
3,0.787255
4,0.782961
5,0.618740
6,0.149200
7,0.062479
8,0.458031
9,0.453266
10,0.712978
11,0.204763
12,0.606519
13,0.423540
14,0.448197
15,0.778784
16,0.818287
17,0.710168
18,0.906770
19,0.904739
20,0.808339
21,0.896177
22,0.907081
23,0.604841
24,0.582748
25,0.805235
26,0.934305
27,0.951456
28,0.955398
29,0.957129
30,0.937006
31,0.966526
32,0.967253
33,0.951250
34,0.951819
35,0.940856
36,0.964648
37,0.956872
38,0.951503
39,0.952720
40,0.830307
41,0.863467
42,0.878914
43,0.804844
44,0.812972
45,0.673020
46,0.764284
47,0.827217
48,0.871166
49,0.845042
50,0.830724
51,0.775372
52,0.879342
53,0.727705
54,0.748403
55,0.958929
56,0.855598
57,0.779289
58,0.658370
59,0.654962
60,0.752367
61,0.776307
62,0.910697
63,0.957079
64,0.959150
65,0.935148
66,0.912205
67,0.835091
68,0.835884
69,0.850627
70,0.813611
71,0.752934
72,0.922695
73,0.937935
74,0.938786
75,0.906453
76,0.936894
77,0.933588
78,0.824525
79,0.823086
80,0.716917
81,0.916536
82,0.905942
83,0.929625
84,0.929629
85,0.924714
86,0.728860
87,0.967517
88,0.942188
89,0.940559
90,0.766167
91,0.061245
92,0.050160
93,0.037598
94,0.037249
95,0.012645
96,0.016236
97,0.007458
98,0.006878
99,0.006927
100,0.014169
101,0.017097
102,0.001225
103,0.031806
104,0.033303
105,0.001568
106,0.002488
107,0.003021
108,0.003359
109,0.003127
110,0.003138
111,0.005410
112,0.010970
113,0.008684
114,0.011922
115,0.007616
116,0.007074
117,0.004920
118,0.013389
119,0.013551
120,0.014649
121,0.003416
122,0.007353
123,0.213737
124,0.218945
125,0.265449
126,0.399792
127,0.403244
128,0.403596
129,0.379637
130,0.085377
131,0.095200
132,0.056613
133,0.022944
134,0.181449
135,0.221855
136,0.281948
137,0.262135
138,0.256895
139,0.112315
140,0.113345
141,0.059712
142,0.137467
143,0.136662
144,0.002209
145,0.000387
146,0.003277
147,0.000761
148,0.000752
149,0.010102
